date,broker,accountNo,lots,tradeId,symbol
2026-02-02,XM,11223344,3.54,XM-20260202-11223344-0001,USDJPY
2026-02-02,XM,11223344,3.75,XM-20260202-11223344-0002,USDCAD
2026-02-02,XM,11223344,2.65,XM-20260202-11223344-0003,AUDUSD
2026-02-02,XM,11223344,8.41,XM-20260202-11223344-0004,GBPUSD
2026-02-02,XM,10111213,1.52,XM-20260202-10111213-0005,USDCAD
2026-02-02,XM,10111213,8.38,XM-20260202-10111213-0006,GBPUSD
2026-02-02,XM,10111213,4.57,XM-20260202-10111213-0007,GBPJPY
2026-02-02,XM,10111213,5.84,XM-20260202-10111213-0008,EURJPY
2026-02-02,XM,30405060,7.40,XM-20260202-30405060-0009,EURUSD
2026-02-02,XM,30405060,8.28,XM-20260202-30405060-0010,USDJPY
2026-02-02,XM,30405060,4.43,XM-20260202-30405060-0011,XAUUSD
2026-02-02,XM,50607080,9.31,XM-20260202-50607080-0012,USDCHF
2026-02-02,XM,70809010,3.98,XM-20260202-70809010-0013,USDJPY
2026-02-03,XM,11223344,3.28,XM-20260203-11223344-0014,NZDUSD
2026-02-03,XM,11223344,8.34,XM-20260203-11223344-0015,EURJPY
2026-02-03,XM,10111213,4.24,XM-20260203-10111213-0016,AUDUSD
2026-02-03,XM,10111213,7.00,XM-20260203-10111213-0017,USDJPY
2026-02-03,XM,10111213,6.99,XM-20260203-10111213-0018,EURUSD
2026-02-03,XM,30405060,9.11,XM-20260203-30405060-0019,USDCHF
2026-02-03,XM,50607080,2.72,XM-20260203-50607080-0020,USDCAD
2026-02-03,XM,50607080,6.97,XM-20260203-50607080-0021,GBPUSD
2026-02-03,XM,50607080,7.96,XM-20260203-50607080-0022,GBPJPY
2026-02-03,XM,70809010,3.63,XM-20260203-70809010-0023,USDCHF
2026-02-03,XM,70809010,7.73,XM-20260203-70809010-0024,EURJPY
2026-02-04,XM,11223344,6.17,XM-20260204-11223344-0025,EURUSD
2026-02-04,XM,11223344,3.36,XM-20260204-11223344-0026,EURJPY
2026-02-04,XM,11223344,6.13,XM-20260204-11223344-0027,XAUUSD
2026-02-04,XM,10111213,4.74,XM-20260204-10111213-0028,EURUSD
2026-02-04,XM,10111213,2.22,XM-20260204-10111213-0029,USDJPY
2026-02-04,XM,30405060,8.34,XM-20260204-30405060-0030,GBPJPY
2026-02-04,XM,30405060,5.66,XM-20260204-30405060-0031,EURUSD
2026-02-04,XM,30405060,0.60,XM-20260204-30405060-0032,NZDUSD
2026-02-04,XM,50607080,9.91,XM-20260204-50607080-0033,NZDUSD
2026-02-04,XM,50607080,6.20,XM-20260204-50607080-0034,XAUUSD
2026-02-04,XM,50607080,4.92,XM-20260204-50607080-0035,EURUSD
2026-02-04,XM,50607080,6.14,XM-20260204-50607080-0036,EURUSD
2026-02-04,XM,70809010,6.52,XM-20260204-70809010-0037,XAUUSD
2026-02-04,XM,70809010,7.69,XM-20260204-70809010-0038,NZDUSD
2026-02-04,XM,70809010,9.64,XM-20260204-70809010-0039,USDCHF
